irr,temp,iph,isat,rsh,a
100.0,20.0,0.8711164021872455,1.0241864247342493e-10,2051.93099565221,0.02611667905624111
100.0,25.0,0.8730194021872455,2.406592991708903e-10,2051.93099565221,0.02656212812764212
100.0,30.0,0.8749224021872456,5.502343834098564e-10,2051.93099565221,0.02700757719904313
100.0,35.0,0.8768254021872455,1.2257068679340463e-09,2051.93099565221,0.02745302627044414
100.0,40.0,0.8787284021872456,2.6635161381476474e-09,2051.93099565221,0.02789847534184514
100.0,45.0,0.8806314021872454,5.6527053288062445e-09,2051.93099565221,0.028343924413246152
100.0,50.0,0.8825344021872455,1.1729006027729604e-08,2051.93099565221,0.028789373484647163
100.0,55.0,0.8844374021872454,2.3818416382063104e-08,2051.93099565221,0.02923482255604817
100.0,60.0,0.8863404021872455,4.738358130988507e-08,2051.93099565221,0.029680271627449174
100.0,65.0,0.8882434021872456,9.242686500957465e-08,2051.93099565221,0.030125720698850184
100.0,70.0,0.8901464021872455,1.7692662819083698e-07,2051.93099565221,0.03057116977025119
100.0,75.0,0.8920494021872456,3.326296966700416e-07,2051.93099565221,0.031016618841652202
100.0,80.0,0.8939524021872455,6.146533826906845e-07,2051.93099565221,0.03146206791305321
100.0,85.0,0.8958554021872456,1.1171495758969823e-06,2051.93099565221,0.031907516984454216
150.0,20.0,1.306674603280868,1.0241864247342493e-10,1367.9539971014735,0.02611667905624111
150.0,25.0,1.3095291032808682,2.406592991708903e-10,1367.9539971014735,0.02656212812764212
150.0,30.0,1.3123836032808682,5.502343834098564e-10,1367.9539971014735,0.02700757719904313
150.0,35.0,1.3152381032808682,1.2257068679340463e-09,1367.9539971014735,0.02745302627044414
150.0,40.0,1.3180926032808682,2.6635161381476474e-09,1367.9539971014735,0.02789847534184514
150.0,45.0,1.3209471032808682,5.6527053288062445e-09,1367.9539971014735,0.028343924413246152
150.0,50.0,1.3238016032808682,1.1729006027729604e-08,1367.9539971014735,0.028789373484647163
150.0,55.0,1.3266561032808681,2.3818416382063104e-08,1367.9539971014735,0.02923482255604817
150.0,60.0,1.3295106032808681,4.738358130988507e-08,1367.9539971014735,0.029680271627449174
150.0,65.0,1.3323651032808683,9.242686500957465e-08,1367.9539971014735,0.030125720698850184
150.0,70.0,1.335219603280868,1.7692662819083698e-07,1367.9539971014735,0.03057116977025119
150.0,75.0,1.3380741032808683,3.326296966700416e-07,1367.9539971014735,0.031016618841652202
150.0,80.0,1.340928603280868,6.146533826906845e-07,1367.9539971014735,0.03146206791305321
150.0,85.0,1.3437831032808683,1.1171495758969823e-06,1367.9539971014735,0.031907516984454216
200.0,20.0,1.742232804374491,1.0241864247342493e-10,1025.965497826105,0.02611667905624111
200.0,25.0,1.746038804374491,2.406592991708903e-10,1025.965497826105,0.02656212812764212
200.0,30.0,1.7498448043744912,5.502343834098564e-10,1025.965497826105,0.02700757719904313
200.0,35.0,1.753650804374491,1.2257068679340463e-09,1025.965497826105,0.02745302627044414
200.0,40.0,1.7574568043744911,2.6635161381476474e-09,1025.965497826105,0.02789847534184514
200.0,45.0,1.761262804374491,5.6527053288062445e-09,1025.965497826105,0.028343924413246152
200.0,50.0,1.765068804374491,1.1729006027729604e-08,1025.965497826105,0.028789373484647163
200.0,55.0,1.7688748043744909,2.3818416382063104e-08,1025.965497826105,0.02923482255604817
200.0,60.0,1.772680804374491,4.738358130988507e-08,1025.965497826105,0.029680271627449174
200.0,65.0,1.7764868043744912,9.242686500957465e-08,1025.965497826105,0.030125720698850184
200.0,70.0,1.780292804374491,1.7692662819083698e-07,1025.965497826105,0.03057116977025119
200.0,75.0,1.7840988043744912,3.326296966700416e-07,1025.965497826105,0.031016618841652202
200.0,80.0,1.787904804374491,6.146533826906845e-07,1025.965497826105,0.03146206791305321
200.0,85.0,1.7917108043744912,1.1171495758969823e-06,1025.965497826105,0.031907516984454216
250.0,20.0,2.1777910054681135,1.0241864247342493e-10,820.7723982608841,0.02611667905624111
250.0,25.0,2.1825485054681137,2.406592991708903e-10,820.7723982608841,0.02656212812764212
250.0,30.0,2.187306005468114,5.502343834098564e-10,820.7723982608841,0.02700757719904313
250.0,35.0,2.1920635054681137,1.2257068679340463e-09,820.7723982608841,0.02745302627044414
250.0,40.0,2.196821005468114,2.6635161381476474e-09,820.7723982608841,0.02789847534184514
250.0,45.0,2.2015785054681136,5.6527053288062445e-09,820.7723982608841,0.028343924413246152
250.0,50.0,2.206336005468114,1.1729006027729604e-08,820.7723982608841,0.028789373484647163
250.0,55.0,2.2110935054681136,2.3818416382063104e-08,820.7723982608841,0.02923482255604817
250.0,60.0,2.2158510054681138,4.738358130988507e-08,820.7723982608841,0.029680271627449174
250.0,65.0,2.220608505468114,9.242686500957465e-08,820.7723982608841,0.030125720698850184
250.0,70.0,2.2253660054681137,1.7692662819083698e-07,820.7723982608841,0.03057116977025119
250.0,75.0,2.230123505468114,3.326296966700416e-07,820.7723982608841,0.031016618841652202
250.0,80.0,2.2348810054681136,6.146533826906845e-07,820.7723982608841,0.03146206791305321
250.0,85.0,2.239638505468114,1.1171495758969823e-06,820.7723982608841,0.031907516984454216
300.0,20.0,2.613349206561736,1.0241864247342493e-10,683.9769985507368,0.02611667905624111
300.0,25.0,2.6190582065617365,2.406592991708903e-10,683.9769985507368,0.02656212812764212
300.0,30.0,2.6247672065617365,5.502343834098564e-10,683.9769985507368,0.02700757719904313
300.0,35.0,2.6304762065617364,1.2257068679340463e-09,683.9769985507368,0.02745302627044414
300.0,40.0,2.6361852065617364,2.6635161381476474e-09,683.9769985507368,0.02789847534184514
300.0,45.0,2.6418942065617363,5.6527053288062445e-09,683.9769985507368,0.028343924413246152
300.0,50.0,2.6476032065617363,1.1729006027729604e-08,683.9769985507368,0.028789373484647163
300.0,55.0,2.6533122065617363,2.3818416382063104e-08,683.9769985507368,0.02923482255604817
300.0,60.0,2.6590212065617362,4.738358130988507e-08,683.9769985507368,0.029680271627449174
300.0,65.0,2.6647302065617366,9.242686500957465e-08,683.9769985507368,0.030125720698850184
300.0,70.0,2.670439206561736,1.7692662819083698e-07,683.9769985507368,0.03057116977025119
300.0,75.0,2.6761482065617366,3.326296966700416e-07,683.9769985507368,0.031016618841652202
300.0,80.0,2.681857206561736,6.146533826906845e-07,683.9769985507368,0.03146206791305321
300.0,85.0,2.6875662065617365,1.1171495758969823e-06,683.9769985507368,0.031907516984454216
350.0,20.0,3.0489074076553586,1.0241864247342493e-10,586.2659987577744,0.02611667905624111
