cell_0,cell_1,cell_2,cell_3,cell_4,cell_5,cell_6,cell_7,cell_8,cell_9,cell_10,cell_11,cell_12,cell_13,cell_14,cell_15,cell_16,cell_17,cell_18,cell_19,cell_20,cell_21,cell_22,cell_23,cell_24,cell_25,cell_26,cell_27,cell_28,cell_29,cell_30,cell_31,cell_32,cell_33,cell_34,cell_35,cell_36,cell_37,cell_38,cell_39,cell_40,cell_41,cell_42,cell_43,cell_44,cell_45,cell_46,cell_47
0.0,0.0,464.8582,826.4146,826.4146,826.4146,0.0,0.0,568.16,826.4146,826.4146,826.4146,0.0,154.9527,774.7637,826.4146,826.4146,826.4146,464.8582,671.4618,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146,826.4146
0.0,0.0,413.0743,826.1486,826.1486,826.1486,0.0,0.0,671.2457,826.1486,826.1486,826.1486,0.0,51.63428,826.1486,826.1486,826.1486,826.1486,516.3428,464.7086,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486,826.1486
0.0,0.0,722.6276,825.8602,825.8602,825.8602,0.0,0.0,671.0114,825.8602,825.8602,825.8602,0.0,206.465,825.8602,825.8602,825.8602,825.8602,309.6976,516.1626,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602,825.8602
0.0,0.0,567.565,825.5491,825.5491,825.5491,0.0,0.0,722.3555,825.5491,825.5491,825.5491,0.0,257.9841,825.5491,825.5491,825.5491,825.5491,412.7746,567.565,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491,825.5491
0.0,0.0,670.4875,825.2154,825.2154,825.2154,0.0,0.0,670.4875,825.2154,825.2154,825.2154,0.0,154.7279,825.2154,825.2154,825.2154,825.2154,309.4558,567.3356,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154,825.2154
0.0,0.0,670.1979,824.8589,824.8589,824.8589,0.0,0.0,824.8589,824.8589,824.8589,824.8589,0.0,257.7684,824.8589,824.8589,824.8589,824.8589,257.7684,515.5368,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589,824.8589
0.0,0.0,669.89,824.48,824.48,824.48,0.0,51.53,824.48,824.48,824.48,824.48,0.0,51.53,824.48,824.48,824.48,824.48,257.65,463.77,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48,824.48
0.0,51.5049,772.5735,824.0784,824.0784,824.0784,0.0,103.0098,824.0784,824.0784,824.0784,824.0784,0.0,103.0098,824.0784,824.0784,824.0784,824.0784,309.0294,463.5441,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784,824.0784
0.0,0.0,772.1758,823.6542,823.6542,823.6542,0.0,0.0,772.1758,823.6542,823.6542,823.6542,0.0,257.3919,823.6542,823.6542,823.6542,823.6542,102.9568,669.219,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542,823.6542
0.0,0.0,823.2075,823.2075,823.2075,823.2075,0.0,51.45047,823.2075,823.2075,823.2075,823.2075,0.0,154.3514,823.2075,823.2075,823.2075,823.2075,102.9009,463.0542,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075,823.2075
