irr,temp,iph,isat,rsh,a
100.0,20.0,0.8711164021872456,1.0241864247342405e-10,2051.930995599165,0.026116679056241102
100.0,25.0,0.8730194021872457,2.4065929917088824e-10,2051.930995599165,0.026562128127642113
100.0,30.0,0.8749224021872458,5.502343834098516e-10,2051.930995599165,0.027007577199043124
100.0,35.0,0.8768254021872457,1.2257068679340356e-09,2051.930995599165,0.02745302627044413
100.0,40.0,0.8787284021872458,2.6635161381476247e-09,2051.930995599165,0.027898475341845138
100.0,45.0,0.8806314021872457,5.6527053288061965e-09,2051.930995599165,0.02834392441324615
100.0,50.0,0.8825344021872458,1.1729006027729503e-08,2051.930995599165,0.028789373484647152
100.0,55.0,0.8844374021872456,2.3818416382062902e-08,2051.930995599165,0.029234822556048163
100.0,60.0,0.8863404021872457,4.7383581309884666e-08,2051.930995599165,0.02968027162744917
100.0,65.0,0.8882434021872458,9.242686500957387e-08,2051.930995599165,0.030125720698850177
100.0,70.0,0.8901464021872457,1.7692662819083547e-07,2051.930995599165,0.030571169770251188
100.0,75.0,0.8920494021872458,3.3262969667003873e-07,2051.930995599165,0.0310166188416522
100.0,80.0,0.8939524021872457,6.146533826906791e-07,2051.930995599165,0.031462067913053206
100.0,85.0,0.8958554021872458,1.1171495758969728e-06,2051.930995599165,0.03190751698445421
150.0,20.0,1.3066746032808683,1.0241864247342405e-10,1367.9539970661099,0.026116679056241102
150.0,25.0,1.3095291032808685,2.4065929917088824e-10,1367.9539970661099,0.026562128127642113
150.0,30.0,1.3123836032808687,5.502343834098516e-10,1367.9539970661099,0.027007577199043124
150.0,35.0,1.3152381032808684,1.2257068679340356e-09,1367.9539970661099,0.02745302627044413
150.0,40.0,1.3180926032808686,2.6635161381476247e-09,1367.9539970661099,0.027898475341845138
150.0,45.0,1.3209471032808684,5.6527053288061965e-09,1367.9539970661099,0.02834392441324615
150.0,50.0,1.3238016032808686,1.1729006027729503e-08,1367.9539970661099,0.028789373484647152
150.0,55.0,1.3266561032808684,2.3818416382062902e-08,1367.9539970661099,0.029234822556048163
150.0,60.0,1.3295106032808686,4.7383581309884666e-08,1367.9539970661099,0.02968027162744917
150.0,65.0,1.3323651032808685,9.242686500957387e-08,1367.9539970661099,0.030125720698850177
150.0,70.0,1.3352196032808685,1.7692662819083547e-07,1367.9539970661099,0.030571169770251188
150.0,75.0,1.3380741032808685,3.3262969667003873e-07,1367.9539970661099,0.0310166188416522
150.0,80.0,1.3409286032808685,6.146533826906791e-07,1367.9539970661099,0.031462067913053206
150.0,85.0,1.3437831032808685,1.1171495758969728e-06,1367.9539970661099,0.03190751698445421
